Folder name,Folder color,Latitude,Longitude,Title,Description,Color
Preventivos,#FF0000,43.14199386,-2.039676067,2000843 // BELAUNTZA/POLIGONO,https://preventivos-rgkk.onrender.com/rellenar?title=2000843%20BELAUNTZAPOLIGONO&GS=1,#71b300,BELAUNTZA/POLIGONO BEOTIBAR 3G
Preventivos,#FF0000,43.29853181,-2.365714464,2000031 // DEBA (MOTRICO) EB,https://preventivos-rgkk.onrender.com/rellenar?title=2000031%20DEBA%20(MOTRICO)%20EB&GS=1,#71b300,DEBA (MOTRICO) EB 2G-3G-4G
Preventivos,#FF0000,42.9362424,-2.238108717,2000016 // GAZTELUBERRI,https://preventivos-rgkk.onrender.com/rellenar?title=2000016%20GAZTELUBERRI&GS=1,#71b300,GAZTELUBERRI 2G-4G
Preventivos,#FF0000,43.32990708,-1.825749962,2000395 // IRUN/TRYP,https://preventivos-rgkk.onrender.com/rellenar?title=2000395%20IRUNTRYP&GS=1,#71b300,IRUN/TRYP 2G-3G-4G
Preventivos,#FF0000,43.27775288,-2.339396195,2000033 // ITZIAR CT,https://preventivos-rgkk.onrender.com/rellenar?title=2000033%20ITZIAR%20CT&GS=1,#71b300,ATW-T 63301 ITZIAR CT 2G-3G-4G
Preventivos,#FF0000,43.06180217,-2.342818379,2000042 // LEGAZPIA EB,https://preventivos-rgkk.onrender.com/rellenar?title=2000042%20LEGAZPIA%20EB&GS=1,#71b300,LEGAZPIA EB 2G-3G-4G
Preventivos,#FF0000,43.2981743,-2.065189303,2000011 // MENDIZORROZ ER,https://preventivos-rgkk.onrender.com/rellenar?title=2000011%20MENDIZORROZ%20ER&GS=1,#71b300,MENDIZORROZ ER 2G-3G-4G
Preventivos,#FF0000,43.08363584,-2.313197812,2000736 // ZUMARRAGA/HOSPITAL,https://preventivos-rgkk.onrender.com/rellenar?title=2000736%20ZUMARRAGAHOSPITAL&GS=1,#71b300,ZUMARRAGA/HOSPITAL 3G
Preventivos,#FF0000,43.32107506,-1.980422078,2000174 // PAKEA,https://preventivos-rgkk.onrender.com/rellenar?title=2000174%20PAKEA&GS=1,#71b300,PAKEA 2G-3G-4G
Preventivos,#FF0000,43.27891945,-2.312824058,2000047 // PUERTO ITZIAR,https://preventivos-rgkk.onrender.com/rellenar?title=2000047%20PUERTO%20ITZIAR&GS=1,#71b300,PUERTO ITZIAR 2G-3G-4G
